prgId,menu_label,menuSeq
E020701,Register Record Time,MENUTREE_000754
E020702,Register Paid Leave,MENUTREE_000755
E020703,Search Paid Leave by Employee,MENUTREE_001790
E020710,Record Time,MENUTREE_000756
E020711,Time List,MENUTREE_000757
E020715,Time Attendance Status,MENUTREE_001397
E020716,Remaining Paid Leave Days Status,MENUTREE_001398
E020719,Paid Leave Use Status,MENUTREE_001783
E020720,Assignment Status,MENUTREE_002516
E020721,New Assignment,MENUTREE_002519
E020722,Clock In/Out Status(Employee),MENUTREE_002457
E020723,Tardiness(Employee),MENUTREE_002458
E020724,Clock In/Out (Employee),MENUTREE_002459
E020725,Clock In/Out Application Criteria,MENUTREE_002455
E020726,Clock In/Out Record(Employee),MENUTREE_002456
E020728,Clock In/Out/Time Attendance Status (Employee),MENUTREE_002561
E020751,Day Labor Work List,MENUTREE_002532
E020752,Day Labor Work Status,MENUTREE_002533
E020753,Day Labor Payroll Status,MENUTREE_002534
E020754,Day Labor Confirm Work Status,MENUTREE_002547
E040102,Location,MENUTREE_000172
E040103,Item,MENUTREE_000174
E040104,Mgmt. Field,MENUTREE_000175
E040111,Approval Line for Print (Inv.),MENUTREE_000178
E040113,Change Code,MENUTREE_000183
E040114,Foreign Currency,MENUTREE_000182
E040120,Price Level Group by Customer/Vendor,MENUTREE_000485
E040122,Price by Item,MENUTREE_001404
E040124,Price Level Registration,MENUTREE_001620
E040125,Price Apply Order Settings,MENUTREE_002548
E040126,Price Mgmt,MENUTREE_000176
E040201,New Quotation,MENUTREE_000486
E040202,Quotation List,MENUTREE_000487
E040203,New Sales Order,MENUTREE_000488
E040204,Sales Order List,MENUTREE_000489
E040205,New Sales,MENUTREE_000490
E040206,Sales List,MENUTREE_000492
E040207,Sales Status,MENUTREE_000494
E040208,Quotation Status,MENUTREE_000495
E040209,Sales Order Status,MENUTREE_000496
E040210,Print Sales Slips,MENUTREE_000497
E040211,Outstanding Quote Status,MENUTREE_000498
E040212,Outstanding S/O Status,MENUTREE_000499
E040214,A/R by Customer,MENUTREE_000500
E040215,Collective Invoicing (Sales),MENUTREE_000187
E040216,Sales Discount Status,MENUTREE_000501
E040217,Receipt Status,MENUTREE_001680
E040220,New Shipping Order,MENUTREE_000659
E040221,Shipping Order List,MENUTREE_000660
E040222,Shipping Order Status,MENUTREE_000661
E040224,Change Sales Price-Batch,MENUTREE_000725
E040225,New Shipment,MENUTREE_000775
E040226,Shipment List,MENUTREE_000776
E040227,Shipment Status,MENUTREE_000777
E040228,Pending Shipment Status,MENUTREE_000779
E040230,Release Sales Order,MENUTREE_001647
E040301,New Purchase Order,MENUTREE_000508
E040302,Purchase Order List,MENUTREE_000509
E040303,New Purchases,MENUTREE_000510
E040304,Purchase List,MENUTREE_000511
E040305,Purchase Status,MENUTREE_000513
E040306,Purchase Order Status,MENUTREE_000515
E040307,Outstanding P/O Status,MENUTREE_000516
E040309,A/P by Vendor,MENUTREE_000517
E040310,Payment Status,MENUTREE_001682
E040311,Change Purchases Price-Batch,MENUTREE_001662
E040312,Collective Invoicing (Purchase),MENUTREE_000193
E040313,Purchase Discount Status,MENUTREE_000518
E040314,New Purchase Request,MENUTREE_000504
E040315,Purchase Request List,MENUTREE_000505
E040316,New Purchase Plan,MENUTREE_000506
E040317,Purchase Plan List,MENUTREE_000507
E040318,Purchase Request Status,MENUTREE_000514
E040319,Pre-Invoicing Status (Purchases),MENUTREE_000703
E040321,New RFQ,MENUTREE_001325
E040322,RFQ List,MENUTREE_001326
E040323,RFQ Progress Status,MENUTREE_001912
E040325,RFQ Status,MENUTREE_001913
E040401,BOM Design,MENUTREE_000520
E040402,BOM Design Status,MENUTREE_001952
E040403,Estimated BOM,MENUTREE_000521
E040404,New Goods Issued,MENUTREE_000524
E040405,Goods Issued List,MENUTREE_000525
E040406,Goods Receipt I,MENUTREE_000526
E040407,Goods Receipt II,MENUTREE_000527
E040408,Goods Receipt List,MENUTREE_000529
E040409,Goods Issued Status,MENUTREE_000533
E040410,Goods Receipt Status,MENUTREE_000534
E040411,New Job Order,MENUTREE_000522
E040412,Job Order List,MENUTREE_000523
E040413,Job Order Status,MENUTREE_000531
E040414,Progress Status by J/O,MENUTREE_000532
E040415,Goods Receipt/Consumed Status I,MENUTREE_000535
E040416,Goods Receipt III,MENUTREE_000528
E040418,Collective Invoicing (O/E),MENUTREE_000530
E040419,Discount on O/E Status,MENUTREE_000664
E040425,Reg. Process,MENUTREE_002704
E040426,Reg. Resource,MENUTREE_002705
E040427,BOR (Required Time),MENUTREE_002706
E040428,Calculate Required Time,MENUTREE_002707
E040429,Apply J/O to Job,MENUTREE_002709
E040430,New Job Record,MENUTREE_002710
E040431,Job Record List,MENUTREE_002711
E040432,Job Record Status,MENUTREE_002712
E040435,New Production Plan/MRP,MENUTREE_002762
E040436,Job Order Efficiency Status,MENUTREE_002884
E040501,New Location Tran.,MENUTREE_000539
E040502,Location Tran. List,MENUTREE_000540
E040503,New Internal Use,MENUTREE_000541
E040504,Internal Use List,MENUTREE_000542
E040505,Location Tran. Status,MENUTREE_000549
E040506,Internal Use Status,MENUTREE_000550
E040507,New Product Defect,MENUTREE_000543
E040508,Product Defect List,MENUTREE_000544
E040509,Product Defect Status,MENUTREE_000551
E040510,Disassemble Status,MENUTREE_000552
E040511,Disposal Status,MENUTREE_000553
E040512,Defect Rate Status,MENUTREE_000554
E040601,New Repair Order,MENUTREE_000557
E040602,Repair Order List,MENUTREE_000558
E040605,New Repair,MENUTREE_000559
E040606,Repair List,MENUTREE_000560
E040607,Update Balance for Inventory,MENUTREE_000222
E040608,Inv. Adjustment Status,MENUTREE_000556
E040609,Pre-Invoicing Status (Sales),MENUTREE_000502
E040610,Repair Order Status,MENUTREE_000561
E040611,Repair Status,MENUTREE_000562
E040613,Inv. Count List,MENUTREE_000546
E040614,Inventory Adj. List,MENUTREE_000548
E040615,Inv. Count Status,MENUTREE_000555
E040617,Reg. Serial/Lot No.,MENUTREE_000563
E040618,Serial/Lot No. Slip List,MENUTREE_000564
E040619,Serial/Lot No. Inv. Balance,MENUTREE_000566
E040620,Serial/Lot No. Inv. Book,MENUTREE_000565
E040621,New Quality Inspection,MENUTREE_000738
E040622,Quality Inspection List,MENUTREE_000739
E040623,Quality Inspection Status,MENUTREE_000741
E040624,Sales Forecast Input Screen,MENUTREE_000570
E040625,Sales Forecast List,MENUTREE_000571
E040626,Sales vs. Sales Forecast,MENUTREE_000572
E040627,All-In-One I,MENUTREE_000663
E040628,New Quality Insp. Request,MENUTREE_000736
E040629,Quality Insp. Request List,MENUTREE_000737
E040630,Quality Insp. Request Status,MENUTREE_000740
E040631,Uninspected Status,MENUTREE_000742
E040632,New QC Insp. Type,MENUTREE_000744
E040633,All-in-One II,MENUTREE_001318
E040634,Inventory Adj. by Serial/Lot No.,MENUTREE_001338
E040636,Project Plan List,MENUTREE_001429
E040637,Plan vs. Actual Project Status,MENUTREE_001430
E040639,Serial/Lot No. Status,MENUTREE_001436
E040640,Sales Forecast Status,MENUTREE_002460
E040641,A/S Consumption Status,MENUTREE_002520
E040650,Inv. Adj. Process Status,MENUTREE_001437
E040701,Inventory Balance,MENUTREE_000212
E040702,Inv. Book,MENUTREE_000215
E040703,AR/AP Status,MENUTREE_001383
E040704,Management Report,MENUTREE_000223
E040708,Daily Report,MENUTREE_000218
E040709,Status Grand Total,MENUTREE_001793
E040710,Summary,MENUTREE_000224
E040711,Inv. Balance by Location,MENUTREE_000213
E040713,Monthly Receivable Change Details,MENUTREE_001386
E040714,Monthly Payable Fluctuation,MENUTREE_001387
E040716,View Transaction History,MENUTREE_000211
E040719,Inventory Change History,MENUTREE_001713
E040720,Inv. Balance by Multi Spec.,MENUTREE_001796
E040721,Receivable Status,MENUTREE_001901
E040722,Payable Status,MENUTREE_001902
E040723,Customer/Vendor Book I (AR),MENUTREE_001903
E040724,Customer/Vendor Book I (AP),MENUTREE_001904
E040725,Sales/Purchases Summary,MENUTREE_002462
E040726,Inv. balance converted by BOM,MENUTREE_002537
E040727,Inventory Aging Details,MENUTREE_002775
E040728,Inv. Balance by Item Relation,MENUTREE_002879
E040730,Proof Center,MENUTREE_002886
E040802,New Costing,MENUTREE_000590
E040804,Actual Cost Status,MENUTREE_000591
E040805,Monthly Profit Status,MENUTREE_000592
E040806,Daily Profit Status,MENUTREE_001382
E040807,Daily Costing Status,MENUTREE_002898
E040808,Standard Cost Status,MENUTREE_000665
E040809,Variance Analysis,MENUTREE_000666
E040819,Price Change History,MENUTREE_001627
E040901,Reg. Order Mgmt Process,MENUTREE_001391
E040904,Order Mgmt Status,MENUTREE_001393
E040905,Invoice / Packing List,MENUTREE_001396
E040907,Invoice/Packing List Status,MENUTREE_002765
E041003,Online Store Mgmt/Register Item Settings,MENUTREE_002575
E041004,Link to Online Store Item Code,MENUTREE_002576
E041005,Order Mgmt Status,MENUTREE_002577
E041006,Order Confirmation,MENUTREE_002578
E041007,Delivery,MENUTREE_002583
E041008,Cancel,MENUTREE_002579
E041009,Return,MENUTREE_002580
E041010,Exchange,MENUTREE_002581
E041011,ERP Transmission,MENUTREE_002582
E041015,Purchase Plan Status,MENUTREE_002764
E041018,Item vs. Serial/Lot No. Balance,MENUTREE_002766
E060201,Import Tracking No.,MENUTREE_000228
E060202,Import Expenses,MENUTREE_000595
E060203,Log Misc. Expenses,MENUTREE_000596
E060204,Purchase Invoice,MENUTREE_000597
E060205,To Vendor,MENUTREE_000598
E060206,To Customs Broker,MENUTREE_000599
E060207,Update Account,MENUTREE_000600
E060208,Trade Voucher List,MENUTREE_000232
E060209,Import Status,MENUTREE_000601
E060210,Expenses Type,MENUTREE_002449
E060402,New Receivable Payment,MENUTREE_000686
E060403,Receivable List,MENUTREE_000687
E060404,Receivable Status,MENUTREE_000688
E060405,Receivable Transaction Details,MENUTREE_000716
E060406,Registered Receivable Status,MENUTREE_000717
E060407,Receivable Payment Status,MENUTREE_000718
E060408,AR Aging Details,MENUTREE_001314
E060502,New Payable Payment,MENUTREE_000691
E060503,Payable List,MENUTREE_000692
E060504,Payable Status,MENUTREE_000693
E060505,Payable Transaction Details,MENUTREE_000719
E060506,Registered Payable Status,MENUTREE_000720
E060507,Payable Payment Status,MENUTREE_000721
E060508,AP Aging Details,MENUTREE_001315
E060602,New RCVD. Check Payment,MENUTREE_000696
E060603,Checks Received List,MENUTREE_000697
E060604,Checks Received Status,MENUTREE_000698
E060606,New Issued Check Clearance,MENUTREE_000700
E060607,Checks Issued List,MENUTREE_000701
E060608,Checks Issued Status,MENUTREE_000702
E060609,Checks Received Status Report,MENUTREE_001750
E060610,Decrease of Received Checks Balance,MENUTREE_001751
E060611,Increase of Issued Checks Balance,MENUTREE_001752
E060612,Decrease of Issued Checks Balance,MENUTREE_001753
E060613,Received Check Transactions,MENUTREE_001941
E060614,Issued Check Transactions,MENUTREE_001942
E060808,Reg. Control Type,MENUTREE_001513
E060809,Reg. Cost,MENUTREE_001514
E060810,Reg. Cost Group,MENUTREE_001515
E060811,Reg. Cost-Batch,MENUTREE_001797
E060812,Cost Details,MENUTREE_001798
E060813,Search Cost Details,MENUTREE_001799
E060814,Invoicing by Slip (Expense),MENUTREE_001885
E060815,Cost Details Status,MENUTREE_001884
E060901,Contract Item,MENUTREE_001671
E060902,New Contract,MENUTREE_001674
E060903,Contract List,MENUTREE_001675
E060904,Change Contract Price/Qty-Batch,MENUTREE_001676
E060905,Create Estimated Invoice,MENUTREE_001678
E060906,Collective apply to Acct./Sales,MENUTREE_001679
E060907,Print Estimated Invoice,MENUTREE_001668
E060908,Pre-Invoicing Status(Contracts),MENUTREE_001667
E060909,Outstanding Estimated Invoice Status,MENUTREE_001670
E060912,Contract Status,MENUTREE_001725
E061101,Contract Progress,MENUTREE_002589
E061102,Contract Status,MENUTREE_002590
E061103,Employment Contract Progress,MENUTREE_002592
E061104,Employment Contract Status,MENUTREE_002593
E061201,Billing Note List,MENUTREE_002913
E061203,Billing Note Status,MENUTREE_002914
E061301,Reg. Withholding Tax Type,MENUTREE_002930
E061302,Withholding Tax on Purchase List,MENUTREE_002931
E061303,New Withholding Tax on Purchase,MENUTREE_002932
E061304,Withholding Tax on Purchase Status,MENUTREE_002933
E061308,New Withholding Tax on Sales,MENUTREE_002937
E061309,Withholding Tax on Sales List,MENUTREE_002938
E061310,Withholding Tax on Sales Status,MENUTREE_002939
E070103,Compose Draft,MENUTREE_000246
E070105,Track Request,MENUTREE_000247
E070107,Create Template,MENUTREE_000627
E070108,All Submissions,MENUTREE_000248
E070109,Approval Settings,MENUTREE_000249
E070201,Schedule,MENUTREE_000238
E070202,Contacts,MENUTREE_000240
E070203,Search by Condition,MENUTREE_000242
E070204,Office Equipment,MENUTREE_000239
E070205,Recent Posts,MENUTREE_000245
E070252,Anonymous Board,MENUTREE_001327
E070254,Outside Duty List,MENUTREE_001765
E070255,Outside Duty Status,MENUTREE_001767
E070256,New Survey,MENUTREE_002544
E070257,Survey List,MENUTREE_002545
E070258,Survey Status,MENUTREE_002546
E070302,Business Contact,MENUTREE_000256
E070304,Worksheet,MENUTREE_000258
E070305,Clock In/Out Record (ID),MENUTREE_000259
E070306,Clock In/Out Status (ID),MENUTREE_000632
E070307,Tardiness (ID),MENUTREE_000633
E070309,Daily Time Sheet (ID),MENUTREE_000635
E070315,Clock In-Out/Time Mgmt/Schedule (ID),MENUTREE_001956
E071501,업무관리게시판,MENUTREE_002188
